row_order,requested_concept_code,target_concept_code,concept_code,standard_concept_name,n_code_target,n_code_no_target,n_target_no_code,n_no_code_no_target,n_target_before_code,n_code_before_target
1,30082-Race-2,30082-Race-2,30082-Race-1,Race selected; White,20,385,333,45,333,385
2,30082-Race-3,30082-Race-3,30082-Race-1,Race selected; White,3,402,27,351,27,402
3,30082-Race-4,30082-Race-4,30082-Race-1,Race selected; White,7,398,6,372,6,398
4,30082-Race-5,30082-Race-5,30082-Race-1,Race selected; White,0,405,2,376,2,405
5,30082-Race-6,30082-Race-6,30082-Race-1,Race selected; White,2,403,11,367,11,403
6,30082-Race-998,30082-Race-998,30082-Race-1,Race selected; White,0,405,4,374,4,405
7,30082-Race-999,30082-Race-999,30082-Race-1,Race selected; White,0,405,3,375,3,405
8,30086-Gender-1,30086-Gender-1,30082-Race-1,Race selected; White,132,273,110,268,110,273
9,30086-Gender-2,30086-Gender-2,30082-Race-1,Race selected; White,272,133,266,112,266,133
10,30086-Gender-3,30086-Gender-3,30082-Race-1,Race selected; White,4,401,4,374,4,401
11,30086-Gender-5,30086-Gender-5,30082-Race-1,Race selected; White,1,404,0,378,0,404
12,30086-Gender-999,30086-Gender-999,30082-Race-1,Race selected; White,0,405,0,378,0,405
13,30103-conditionsrisks-10,30103-conditionsrisks-10,30082-Race-1,Race selected; White,9,396,5,373,5,396
14,30103-conditionsrisks-13,30103-conditionsrisks-13,30082-Race-1,Race selected; White,37,368,29,349,29,368
15,30103-conditionsrisks-14,30103-conditionsrisks-14,30082-Race-1,Race selected; White,45,360,64,314,64,360
16,30103-conditionsrisks-15,30103-conditionsrisks-15,30082-Race-1,Race selected; White,0,405,2,376,2,405
17,30103-conditionsrisks-16,30103-conditionsrisks-16,30082-Race-1,Race selected; White,11,394,3,375,3,394
18,30103-conditionsrisks-17,30103-conditionsrisks-17,30082-Race-1,Race selected; White,21,384,6,372,6,384
19,30103-conditionsrisks-19,30103-conditionsrisks-19,30082-Race-1,Race selected; White,19,386,7,371,7,386
20,30103-conditionsrisks-2,30103-conditionsrisks-2,30082-Race-1,Race selected; White,15,390,41,337,41,390
21,30103-conditionsrisks-20,30103-conditionsrisks-20,30082-Race-1,Race selected; White,211,194,134,244,134,194
22,30103-conditionsrisks-22,30103-conditionsrisks-22,30082-Race-1,Race selected; White,5,400,6,372,6,400
23,30103-conditionsrisks-23,30103-conditionsrisks-23,30082-Race-1,Race selected; White,0,405,1,377,1,405
24,30103-conditionsrisks-3,30103-conditionsrisks-3,30082-Race-1,Race selected; White,33,372,85,293,85,372
25,30103-conditionsrisks-4,30103-conditionsrisks-4,30082-Race-1,Race selected; White,50,355,87,291,87,355
26,30103-conditionsrisks-5,30103-conditionsrisks-5,30082-Race-1,Race selected; White,11,394,6,372,6,394
27,30103-conditionsrisks-6,30103-conditionsrisks-6,30082-Race-1,Race selected; White,1,404,0,378,0,404
28,30103-conditionsrisks-7,30103-conditionsrisks-7,30082-Race-1,Race selected; White,2,403,2,376,2,403
29,30103-conditionsrisks-8,30103-conditionsrisks-8,30082-Race-1,Race selected; White,12,393,4,374,4,393
30,30103-conditionsrisks-9,30103-conditionsrisks-9,30082-Race-1,Race selected; White,14,391,34,344,34,391
31,30103-conditionsrisks-999,30103-conditionsrisks-999,30082-Race-1,Race selected; White,8,397,10,368,10,397
32,30138-COVID_Why-1,30138-COVID_Why-1,30082-Race-1,Race selected; White,63,326,34,302,34,326
33,30138-COVID_Why-2,30138-COVID_Why-2,30082-Race-1,Race selected; White,38,351,28,308,28,351
34,30138-COVID_Why-3,30138-COVID_Why-3,30082-Race-1,Race selected; White,17,372,19,317,19,372
35,30138-COVID_Why-4,30138-COVID_Why-4,30082-Race-1,Race selected; White,9,380,15,321,15,380
36,30138-COVID_Why-5,30138-COVID_Why-5,30082-Race-1,Race selected; White,16,373,21,315,21,373
37,30138-COVID_Why-999,30138-COVID_Why-999,30082-Race-1,Race selected; White,0,389,3,333,3,389
38,30141-covid_tst_symptoms-1,30141-covid_tst_symptoms-1,30082-Race-1,Race selected; White,3,386,5,331,5,386
39,30141-covid_tst_symptoms-10,30141-covid_tst_symptoms-10,30082-Race-1,Race selected; White,38,351,15,321,15,351
40,30141-covid_tst_symptoms-11,30141-covid_tst_symptoms-11,30082-Race-1,Race selected; White,17,372,11,325,11,372
41,30141-covid_tst_symptoms-12,30141-covid_tst_symptoms-12,30082-Race-1,Race selected; White,38,351,14,322,14,351
42,30141-covid_tst_symptoms-13,30141-covid_tst_symptoms-13,30082-Race-1,Race selected; White,8,381,5,331,5,381
43,30141-covid_tst_symptoms-14,30141-covid_tst_symptoms-14,30082-Race-1,Race selected; White,5,384,4,332,4,384
44,30141-covid_tst_symptoms-15,30141-covid_tst_symptoms-15,30082-Race-1,Race selected; White,8,381,7,329,7,381
45,30141-covid_tst_symptoms-16,30141-covid_tst_symptoms-16,30082-Race-1,Race selected; White,13,376,6,330,6,376
46,30141-covid_tst_symptoms-17,30141-covid_tst_symptoms-17,30082-Race-1,Race selected; White,22,367,11,325,11,367
47,30141-covid_tst_symptoms-18,30141-covid_tst_symptoms-18,30082-Race-1,Race selected; White,3,386,2,334,2,386
48,30141-covid_tst_symptoms-19,30141-covid_tst_symptoms-19,30082-Race-1,Race selected; White,2,387,0,336,0,387
49,30141-covid_tst_symptoms-21,30141-covid_tst_symptoms-21,30082-Race-1,Race selected; White,37,352,9,327,9,352
50,30141-covid_tst_symptoms-23,30141-covid_tst_symptoms-23,30082-Race-1,Race selected; White,10,379,7,329,7,379
51,30141-covid_tst_symptoms-25,30141-covid_tst_symptoms-25,30082-Race-1,Race selected; White,30,359,8,328,8,359
52,30141-covid_tst_symptoms-26,30141-covid_tst_symptoms-26,30082-Race-1,Race selected; White,10,379,2,334,2,379
53,30141-covid_tst_symptoms-28,30141-covid_tst_symptoms-28,30082-Race-1,Race selected; White,2,387,1,335,1,387
